# Time(s)  Normalized_Flux
13910.000000 0.968893
13920.000000 0.972505
13930.000000 0.966250
13940.000000 0.950004
13950.000000 0.973567
13960.000000 0.979048
13970.000000 0.972102
13980.000000 0.962895
13990.000000 0.972494
14000.000000 0.990428
14010.000000 0.985613
14020.000000 1.001266
14030.000000 1.007531
14040.000000 1.012660
14050.000000 1.003236
14060.000000 1.002231
14070.000000 0.995640
14080.000000 0.983826
14090.000000 0.990101
14100.000000 1.009826
14110.000000 0.992493
14120.000000 0.985461
14130.000000 0.995302
14140.000000 0.982818
14150.000000 0.984514
14160.000000 0.987600
14170.000000 0.995631
14180.000000 1.003193
14190.000000 0.984154
14200.000000 0.993632
14210.000000 0.994229
14220.000000 0.997216
14230.000000 0.999665
14240.000000 1.004202
14250.000000 0.998287
14260.000000 1.019850
14270.000000 0.992994
14280.000000 1.017344
14290.000000 1.012252
14300.000000 1.029359
14310.000000 1.033277
14320.000000 1.049579
14330.000000 1.052074
14340.000000 1.057717
14350.000000 1.070884
14360.000000 1.061232
14370.000000 1.062227
14380.000000 1.062405
14390.000000 1.058954
14400.000000 1.050371
14410.000000 1.056975
14420.000000 1.036979
14430.000000 1.036138
14440.000000 1.031935
14450.000000 1.041240
14460.000000 1.021875
14470.000000 1.014009
14480.000000 1.013536
14490.000000 1.027787
14500.000000 0.991848
14510.000000 1.015917
14520.000000 0.999343
14530.000000 1.009572
14540.000000 1.006597
14550.000000 0.994074
14560.000000 1.004569
14570.000000 0.994260
14580.000000 0.991448
14590.000000 0.989801
14600.000000 0.998107
14610.000000 0.991302
14620.000000 0.977173
14630.000000 0.990815
14640.000000 0.970481
14650.000000 0.979245
14660.000000 0.959828
14670.000000 0.962887
14680.000000 0.956895
14690.000000 0.966218
14700.000000 0.964530
14710.000000 0.932308
14720.000000 0.942243
14730.000000 0.941132
14740.000000 0.944762
14750.000000 0.959614
14760.000000 0.959598
14770.000000 0.951122
14780.000000 0.956512
14790.000000 0.945765
14800.000000 0.962589
14810.000000 0.948922
14820.000000 0.962568
14830.000000 0.971552
14840.000000 0.968341
14850.000000 0.961286
14860.000000 0.986392
14870.000000 0.954269
14880.000000 0.980358
14890.000000 0.995623
14900.000000 0.979845
14910.000000 1.004485
14920.000000 1.027703
14930.000000 1.049837
14940.000000 1.078630
14950.000000 1.084317
15040.000000 1.088723
15050.000000 1.078060
15060.000000 1.088605
